sample_no,side,hits,energy,peak_0,peak_1000,peak_2000,peak_3000,peak_4000,totalSampleTime[ms],avgSampleTime[ms],overallAvgEnergy,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,
29,L,1,142.92,42,40,36,34,33,46,0.12,142.92,204.75,2138.50,2208.85,2512.25,1808.40,2216.50,2289.95,2352.80,1936.60,2469.85,1807.85,2306.40,2575.15,1501.50,3027.80,1246.40,2467.35,2268.40,1900.40,1278.20,
34,L,1,135.54,36,34,32,31,31,46,0.12,135.54,204.75,1435.65,2178.75,2232.45,1534.50,2649.70,1667.15,2258.55,2604.20,2205.55,2639.35,1946.85,2465.15,2102.90,1796.10,1854.55,1923.85,2199.65,2845.30,1866.90,
1,L,1,149.81,32,24,22,20,19,46,0.12,149.81,204.75,1595.50,1922.50,2291.85,2064.40,1730.05,1639.30,1825.85,2025.35,2518.10,1790.40,2259.45,2299.90,1864.70,1784.00,1405.25,1151.65,1828.00,1490.05,3219.05,
5,L,1,54.70,58,44,39,34,32,45,0.11,54.70,204.75,1616.25,2096.40,1161.55,2097.85,1598.40,2211.95,2146.60,1892.15,2141.35,1141.15,2321.60,2222.70,1353.05,2095.55,1456.75,2631.30,1781.65,1624.05,2670.40,
10,L,1,136.07,52,43,42,41,40,46,0.12,136.07,204.75,2630.35,2125.65,2569.95,1456.15,2258.35,2001.25,2576.15,1991.35,1713.95,2492.10,1602.95,2070.85,3011.75,1595.65,1931.65,1809.40,2206.70,2915.85,2142.60,
14,L,1,88.44,43,41,40,37,35,45,0.11,88.44,204.75,2271.85,2021.35,2792.90,1778.10,2715.35,2095.50,2276.20,1832.85,2480.10,2866.50,1642.60,3124.80,2189.25,2450.95,2304.55,1717.45,2867.50,2274.30,2832.25,
19,L,1,130.12,49,42,39,38,36,46,0.12,130.12,204.75,2134.35,2494.40,1737.10,2588.05,2030.40,2053.50,2226.85,1600.60,2658.00,2423.80,1892.20,1871.55,1609.30,1868.55,2166.30,1500.20,3153.90,1551.10,3031.80,
21,L,1,88.48,17,11,10,10,10,46,0.12,88.48,204.75,3719.80,1191.65,2335.15,3562.35,974.45,3897.45,1365.15,3582.65,1189.90,3266.70,341.55,2907.95,1991.95,2591.35,2878.65,2046.10,1704.10,1332.65,1965.30,
24,L,1,158.34,51,39,34,34,30,46,0.12,158.34,204.75,2006.40,1365.55,2971.15,2523.25,1784.15,1615.85,2700.75,2955.85,1979.75,2574.60,2289.05,2358.65,1746.00,1910.85,1769.65,1784.30,1321.25,2069.35,2034.35,
29,L,1,178.86,44,38,37,36,34,45,0.11,178.86,204.75,2337.90,1936.00,2315.90,2884.00,1363.85,2360.45,2415.45,1972.95,2606.45,1848.80,2794.20,1393.75,3005.85,868.25,2162.05,2200.45,1833.45,3146.40,2290.55,
33,L,1,140.68,55,47,42,38,36,46,0.12,140.68,204.75,1867.20,2661.75,1717.10,2214.45,2256.00,2772.95,2302.40,1615.65,1772.00,2409.15,2029.25,2124.65,1492.60,1809.60,2367.35,2190.95,2506.65,1435.90,2475.15,
