sample_no,side,hits,energy,peak_0,peak_1000,peak_2000,peak_3000,peak_4000,totalSampleTime[ms],avgSampleTime[ms],overallAvgEnergy,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,
149,L,1,62.38,33,29,29,25,23,44,0.11,62.38,204.75,2225.70,2276.85,1705.90,2459.55,2188.35,2725.05,2160.80,2510.00,2038.35,2040.70,2718.25,1839.60,3059.75,1870.05,2044.50,1408.20,2190.55,1975.20,2224.45,
156,L,1,56.77,36,32,29,29,28,45,0.11,56.77,204.75,2212.95,2741.30,1707.85,2772.70,2103.90,2367.70,2176.55,2054.65,1820.90,2453.25,2805.85,2299.10,1592.95,2399.15,1676.65,1822.05,1877.00,2083.25,1601.95,
160,L,1,47.55,27,20,20,18,15,46,0.12,47.55,204.75,2018.20,1936.45,2201.00,1261.65,2583.80,1997.35,3122.70,1530.05,2495.45,2666.90,1845.80,1129.90,2412.95,1994.35,2958.70,2091.80,1997.65,372.30,1932.00,
162,L,1,54.53,25,22,17,17,17,45,0.11,54.53,204.75,2570.95,1920.75,2349.05,2755.00,1536.30,2422.95,2219.25,2265.05,1252.50,2157.55,1549.70,3376.85,1732.80,3303.40,516.30,2940.10,1524.05,2537.30,1614.05,
165,L,1,127.77,44,37,30,27,25,45,0.11,127.77,204.75,1586.95,2281.30,1940.70,2751.30,1512.05,2828.55,2116.45,2823.75,1317.70,2183.90,1449.30,2794.95,1196.20,3230.00,1039.20,3020.25,750.65,2747.10,1054.50,
168,L,1,42.64,35,29,26,24,21,44,0.11,42.64,204.75,2176.25,2707.95,1996.70,2831.60,1661.90,1941.30,2018.25,1649.50,2347.80,1225.85,2551.80,1955.20,1960.80,2126.55,3471.60,1576.35,2599.65,599.50,1462.85,
171,L,1,100.38,22,15,15,11,10,40,0.10,100.38,204.75,2043.05,1975.00,2399.65,1373.25,3529.60,619.30,2963.50,1222.15,1696.15,1638.05,2152.35,3084.10,1715.60,3835.05,1095.05,2552.35,1733.75,2867.85,2216.50,
173,L,1,86.20,25,17,13,13,12,40,0.10,86.20,204.75,1547.60,1902.60,2869.55,1037.85,2806.10,1417.75,2593.10,1745.65,3373.50,2311.80,2379.40,2651.70,2545.60,2266.20,1315.75,2187.85,950.30,1886.75,1653.60,
175,L,1,63.65,21,16,13,12,12,45,0.11,63.65,204.75,2526.60,1545.90,3159.50,1210.80,3441.80,1684.50,3201.55,1333.35,2818.00,1046.80,1865.40,1746.90,3324.65,1889.45,2049.60,1148.35,1815.50,1821.50,1993.85,
179,L,1,29.08,30,26,23,21,19,45,0.11,29.08,204.75,2396.90,1967.30,2057.95,2323.85,1725.20,1985.05,2223.10,1655.80,3052.60,1593.95,2748.60,2981.30,3037.80,2649.90,2906.65,2087.35,1792.60,802.00,609.50,
182,L,1,64.11,39,30,26,22,20,45,0.11,64.11,204.75,1841.55,2378.90,1835.90,1975.70,1438.05,2554.30,1478.05,3430.15,1097.60,2711.95,1412.65,2854.80,1507.80,2223.20,518.25,3004.20,926.85,2615.05,1292.30,
185,L,1,46.47,20,19,18,15,13,45,0.11,46.47,204.75,1746.00,3217.50,1094.15,2442.70,1512.55,2830.95,2446.50,2225.15,2771.90,1787.90,2497.95,875.80,2706.65,2228.05,1827.85,1487.55,3183.55,2316.85,2945.50,
188,L,1,120.40,24,22,19,19,17,45,0.11,120.40,204.75,2569.40,2439.75,1905.20,2543.30,1512.50,2842.30,1349.90,2881.15,1665.15,2074.10,1391.75,3395.00,2659.65,3454.95,1152.45,2257.25,978.75,1857.85,1592.90,
194,L,1,69.45,28,18,15,13,12,44,0.11,69.45,204.75,1694.05,1996.35,2264.85,1038.10,2759.90,2315.60,2537.70,2114.70,2416.10,2049.60,2374.90,2537.90,1469.20,2164.70,701.80,2534.10,1304.40,2355.75,1103.15,
197,L,1,125.06,22,16,13,12,11,45,0.11,125.06,204.75,2462.70,2097.65,2061.35,2328.80,2390.70,3024.25,1390.55,2412.35,2093.70,2384.60,1581.80,2790.15,1697.55,3578.20,2079.15,2850.55,162.05,1871.80,480.55,
200,L,1,8.22,17,14,13,12,11,40,0.10,8.22,204.75,2533.55,1633.70,2638.30,2441.05,2871.15,1850.80,1892.45,1570.80,2017.65,2336.50,2227.25,2464.95,3362.40,1773.65,3137.65,1457.80,2783.95,950.00,1372.55,
203,L,1,107.23,23,19,16,14,11,40,0.10,107.23,204.75,2252.15,1934.55,2221.40,1443.30,2255.35,2803.60,1696.85,1992.70,1317.55,1685.35,1032.55,2281.50,2247.65,1806.00,3763.15,834.40,2294.90,1322.95,1604.65,
206,L,1,86.01,24,15,11,10,9,40,0.10,86.01,204.75,2235.55,1870.15,2979.00,579.00,1918.95,1144.75,1536.95,2106.25,1769.80,2516.00,2002.05,3057.75,2598.05,3340.45,2605.70,2524.00,1364.10,2143.80,2105.60,
208,L,1,52.28,23,16,13,12,12,40,0.10,52.28,204.75,1663.45,1710.15,2548.90,1255.35,2161.65,1818.25,2618.45,2146.80,2374.80,2530.85,1217.40,3347.35,2162.05,2482.25,1447.25,2470.25,718.70,1700.85,2194.45,
214,L,1,88.01,20,13,12,11,9,40,0.10,88.01,204.75,2561.70,2242.10,1761.20,1865.00,2440.30,2864.00,1368.15,2844.05,1095.05,1089.50,1488.45,2441.70,2548.10,2350.85,2924.60,973.10,2524.35,1169.60,3131.55,
216,L,1,35.22,26,20,19,18,16,46,0.12,35.22,204.75,2218.45,1951.55,2037.85,3264.00,1835.45,2512.95,1597.35,2759.40,1488.10,3041.95,2478.25,3297.30,2541.55,2178.60,2578.40,2080.45,2079.80,1496.00,657.75,
219,L,1,98.51,33,27,24,22,21,46,0.12,98.51,204.75,2145.40,2118.15,2321.70,2175.35,1915.35,1378.50,1453.80,2835.15,1110.65,2771.45,1614.60,2448.25,2850.85,2341.55,1430.35,2134.75,865.00,1291.90,1654.15,
222,L,1,28.39,28,13,11,9,9,45,0.11,28.39,204.75,2692.30,1850.70,2466.90,1606.40,2731.15,1213.65,3046.25,514.80,2257.00,560.00,2281.00,1114.30,2813.45,1703.40,2937.95,1741.45,1918.55,430.35,1029.90,
225,L,1,75.03,19,16,14,12,9,44,0.11,75.03,204.75,2309.95,895.90,2598.90,1159.95,1704.45,1456.65,2224.60,1277.60,2052.85,1181.95,1564.00,1872.00,2630.35,2468.30,2541.10,1506.75,1861.40,1598.70,2005.10,
230,L,1,61.82,15,13,11,11,9,40,0.10,61.82,204.75,2799.15,2651.65,2397.55,2627.05,1040.20,3226.05,1815.20,2639.35,1966.80,2721.60,1247.90,2248.25,1439.45,2508.15,2840.15,2977.60,2496.50,1075.55,2734.15,
232,L,1,91.14,36,28,28,26,20,46,0.12,91.14,204.75,2177.60,1745.65,1734.30,2217.40,2220.35,2259.55,2301.50,2534.20,1345.25,2389.60,1346.75,2938.45,1814.00,1339.00,2000.90,1514.50,1665.60,1480.05,966.95,
235,L,1,121.86,22,17,15,11,9,45,0.11,121.86,204.75,3152.65,1465.05,2012.90,1267.25,2130.10,2459.75,2909.20,1499.55,2365.80,509.65,3494.55,1535.50,3671.15,2904.50,2345.80,1383.80,1551.25,3197.75,3024.75,
240,L,1,93.53,24,20,16,14,12,40,0.10,93.53,204.75,2147.55,2005.45,2318.65,1657.05,1686.55,1757.40,1681.40,1410.85,2132.85,1270.65,2810.20,817.10,2524.20,2355.45,1875.30,2576.90,662.20,2355.70,663.80,
257,L,1,68.94,15,11,11,10,9,40,0.10,68.94,204.75,2434.75,837.10,3772.10,550.95,3218.35,1209.40,1814.90,1574.20,1745.15,2466.45,1655.45,3578.55,1586.55,4095.00,1997.90,3762.60,1424.80,2754.90,1521.20,
261,L,1,155.88,20,14,12,11,9,40,0.10,155.88,204.75,2544.35,2196.70,519.85,3343.75,1102.25,2236.65,1208.25,1045.60,1580.90,1013.00,3031.15,2820.70,3112.25,2724.15,2755.45,1580.60,441.45,2603.85,571.10,
266,L,1,66.01,36,29,20,18,14,45,0.11,66.01,204.75,1215.90,2634.60,1860.20,2644.05,2169.15,882.55,1295.05,2422.25,1204.05,2768.45,1463.40,1629.10,1480.60,1386.55,679.55,548.30,337.75,795.45,223.20,
268,L,1,18.45,14,11,9,9,9,40,0.10,18.45,204.75,2507.90,1755.25,2765.10,3109.50,2273.00,2109.15,715.40,1271.00,1774.20,3665.75,2172.50,3753.25,1613.25,2218.35,1230.15,2745.00,1594.20,1616.20,2422.65,
