sample_no,side,hits,energy,peak_0,peak_1000,peak_2000,peak_3000,peak_4000,totalSampleTime[ms],avgSampleTime[ms],overallAvgEnergy,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,
355,L,1,134.45,35,33,31,29,27,45,0.11,134.45,204.75,1310.75,1482.05,2203.25,1781.80,2409.90,2521.75,1846.20,1970.50,1918.40,1964.35,1851.70,2875.90,2064.00,2933.40,1406.10,3288.30,2691.90,2739.35,2124.50,
360,L,1,100.11,43,39,35,33,31,45,0.11,100.11,204.75,2012.30,2170.65,2407.50,2046.50,2135.40,1811.75,1139.25,1936.85,1319.60,2411.25,1418.15,2055.60,1896.30,940.20,2351.40,2880.30,3379.20,2397.15,3258.10,
376,L,1,124.78,24,20,18,17,14,45,0.11,124.78,204.75,2149.85,1527.30,2488.65,2396.85,1398.80,1700.15,2287.45,2759.70,1625.05,3188.95,1898.70,2688.90,1029.95,2848.95,792.20,3220.65,255.05,1964.45,1031.20,
380,L,1,144.90,28,24,23,19,17,44,0.11,144.90,204.75,1355.15,2855.80,1168.55,3003.75,1982.70,1512.05,1799.65,3101.55,1366.80,2142.80,2100.55,1427.60,945.45,1566.20,1161.40,1816.35,989.80,1627.30,2991.00,
2,L,1,171.76,19,19,18,15,14,45,0.11,171.76,204.75,2752.20,1729.95,1933.85,1113.80,2581.65,873.50,2514.45,1211.05,2707.60,1461.60,2660.10,1912.30,2347.85,2217.75,1944.05,2637.90,1830.10,3434.80,1504.65,
7,L,1,127.58,14,13,12,12,12,41,0.10,127.58,204.75,1932.00,2096.75,1824.65,2201.95,2491.05,2118.05,2674.40,857.90,3081.45,1594.10,3871.20,1891.45,3379.75,2292.85,964.00,2210.30,1311.30,3160.25,2122.80,
11,L,1,125.19,22,19,18,18,17,45,0.11,125.19,204.75,2061.45,1922.15,1490.80,1682.65,1885.45,2333.65,1322.15,2534.80,2173.90,2895.20,1878.65,2803.70,2145.65,1667.70,1423.90,1782.80,1588.65,2454.70,2703.50,
1,L,1,168.75,50,42,36,33,33,45,0.11,168.75,204.75,2261.10,2435.45,1974.35,2785.95,2124.95,2446.10,1846.80,2862.65,718.80,2695.60,1133.15,2848.20,2093.35,2976.75,978.50,2726.20,1884.95,3010.25,1932.70,
7,L,1,57.90,15,14,14,13,12,45,0.11,57.90,204.75,1544.45,3527.40,2120.65,3099.50,2228.70,2040.75,2088.45,1686.90,2379.50,2330.25,2163.25,1559.30,1882.55,1959.65,2000.85,2099.30,2114.25,1326.95,1136.35,
10,L,1,36.75,26,12,11,11,10,46,0.12,36.75,204.75,3458.50,1587.05,1859.85,3180.20,782.90,3256.00,2408.20,83.35,96.75,190.95,194.30,1266.55,3085.40,4039.55,2379.85,3325.15,3489.60,2828.80,2129.85,
15,L,1,75.10,25,21,17,16,12,45,0.11,75.10,204.75,1691.15,3510.65,1619.80,1781.30,1555.40,1695.40,1047.40,2151.45,2100.75,2890.30,3344.15,2729.30,2369.95,2058.10,1509.25,910.15,904.85,367.95,778.55,
8,L,1,63.44,18,12,11,10,10,45,0.11,63.44,204.75,2859.35,2004.25,3076.05,1899.70,1697.25,2493.80,672.25,2824.60,1280.20,2746.40,2990.50,37.65,3063.00,582.15,3188.35,2466.20,2609.75,2470.95,3157.50,
14,L,1,136.58,21,13,13,11,11,41,0.10,136.58,204.75,2148.55,2778.25,2125.20,1427.35,2518.85,2416.35,3493.30,474.50,1319.50,1929.10,1315.95,1186.25,3896.75,2754.05,3524.85,3852.55,1713.55,3454.65,1531.30,
24,L,1,43.53,24,17,15,13,11,44,0.11,43.53,204.75,2815.80,2943.90,1858.45,2838.25,2983.65,2292.10,537.35,2571.05,2198.75,375.30,813.85,821.60,1405.05,472.80,2660.00,149.80,3324.40,1651.20,3079.60,
28,L,1,121.87,20,12,10,9,9,45,0.11,121.87,204.75,2338.25,1560.05,2302.80,2148.00,1686.60,2136.30,2365.45,190.25,230.55,617.60,554.00,1740.80,3116.50,3538.75,2875.10,4051.50,2820.40,2999.75,2518.60,
40,L,1,15.41,23,17,13,12,12,45,0.11,15.41,204.75,1228.50,2476.60,1687.60,2698.95,2866.35,2458.80,2192.95,681.85,122.80,2759.00,1903.15,3085.10,3858.55,2643.75,3909.30,2222.90,2913.40,124.00,2874.25,
